學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
99學年,臺北縣,928,482,446,-,-,-,-,-,-,903,474,429,25,8,17,363,180,183,-,-,-,-,-,-,355,175,180,8,5,3
99學年,宜蘭縣,261,159,102,-,-,-,-,-,-,261,159,102,-,-,-,127,81,46,-,-,-,-,-,-,127,81,46,-,-,-
99學年,桃園縣,706,367,339,-,-,-,-,-,-,699,365,334,7,2,5,321,156,165,-,-,-,-,-,-,321,156,165,-,-,-
99學年,新竹縣,261,148,113,-,-,-,-,-,-,259,147,112,2,1,1,142,63,79,-,-,-,-,-,-,140,61,79,2,2,-
99學年,苗栗縣,349,213,136,-,-,-,-,-,-,349,213,136,-,-,-,148,73,75,-,-,-,-,-,-,148,73,75,-,-,-
99學年,臺中縣,717,441,276,-,-,-,-,-,-,713,440,273,4,1,3,271,146,125,-,-,-,-,-,-,271,146,125,-,-,-
99學年,彰化縣,717,447,270,-,-,-,-,-,-,717,447,270,-,-,-,220,127,93,-,-,-,-,-,-,220,127,93,-,-,-
99學年,南投縣,391,251,140,-,-,-,-,-,-,382,249,133,9,2,7,151,78,73,-,-,-,-,-,-,145,77,68,6,1,5
99學年,雲林縣,436,245,191,-,-,-,-,-,-,431,242,189,5,3,2,160,97,63,-,-,-,-,-,-,147,88,59,13,9,4
99學年,嘉義縣,337,208,129,-,-,-,-,-,-,337,208,129,-,-,-,120,61,59,-,-,-,-,-,-,120,61,59,-,-,-
99學年,臺南縣,491,334,157,-,-,-,-,-,-,491,334,157,-,-,-,202,119,83,-,-,-,-,-,-,195,115,80,7,4,3
99學年,高雄縣,524,317,207,-,-,-,-,-,-,524,317,207,-,-,-,227,127,100,-,-,-,-,-,-,227,127,100,-,-,-
99學年,屏東縣,463,330,133,8,2,6,-,-,-,455,328,127,-,-,-,183,98,85,-,-,-,-,-,-,176,95,81,7,3,4
99學年,臺東縣,221,138,83,8,1,7,-,-,-,209,136,73,4,1,3,94,57,37,-,-,-,-,-,-,90,56,34,4,1,3
