學年別,學門別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
102學年,社會服務學門,8399,956,7443,419,10,409,821,66,755,-,-,-,1980,132,1848,4752,678,4074,419,67,352,8,3,5
102學年,民生學門,29745,11039,18706,1499,316,1183,1605,647,958,3,1,2,2041,704,1337,22825,8626,14199,1767,742,1025,5,3,2
102學年,運輸服務學門,2202,1176,1026,42,24,18,41,38,3,63,55,8,140,78,62,1518,750,768,384,224,160,14,7,7
102學年,環境保護學門,581,360,221,-,-,-,-,-,-,-,-,-,-,-,-,428,270,158,152,89,63,1,1,-
102學年,軍警國防安全學門,175,158,17,-,-,-,-,-,-,-,-,-,-,-,-,157,142,15,18,16,2,-,-,-
102學年,其他學門,58,25,33,-,-,-,-,-,-,-,-,-,-,-,-,17,14,3,41,11,30,-,-,-
101學年,總計,309333,151921,157412,12733,2453,10280,5342,2313,3029,154,90,64,19732,5951,13781,206913,103401,103512,60218,34706,25512,4241,3007,1234
101學年,教育學門,9627,3318,6309,-,-,-,-,-,-,-,-,-,39,-,39,4870,1666,3204,4390,1492,2898,328,160,168
101學年,藝術學門,5617,1523,4094,53,15,38,4,1,3,13,3,10,326,27,299,3651,1007,2644,1529,446,1083,41,24,17
101學年,人文學門,24273,5966,18307,1102,138,964,53,14,39,-,-,-,1092,219,873,19120,4675,14445,2635,794,1841,271,126,145
101學年,設計學門,11423,4060,7363,174,54,120,126,81,45,20,10,10,403,146,257,9647,3301,6346,1023,452,571,30,16,14
101學年,社會及行為科學學門,11454,4811,6643,-,-,-,-,-,-,-,-,-,9,7,2,7548,3051,4497,3717,1637,2080,180,116,64
101學年,傳播學門,5901,2042,3859,-,-,-,-,-,-,-,-,-,89,41,48,5024,1731,3293,779,263,516,9,7,2
101學年,商業及管理學門,57819,22399,35420,1096,220,876,791,380,411,23,14,9,3376,1279,2097,40234,14509,25725,11967,5800,6167,332,197,135
101學年,法律學門,4267,2003,2264,-,-,-,-,-,-,1,-,1,57,36,21,3153,1403,1750,1026,538,488,30,26,4
101學年,生命科學學門,5517,2950,2567,-,-,-,-,-,-,-,-,-,159,49,110,3425,1895,1530,1644,824,820,289,182,107
101學年,自然科學學門,5937,4272,1665,-,-,-,-,-,-,-,-,-,-,-,-,3574,2589,985,2020,1415,605,343,268,75
101學年,數學及統計學門,3681,2338,1343,-,-,-,-,-,-,-,-,-,-,-,-,2724,1759,965,905,545,360,52,34,18
101學年,電算機學門,17378,11084,6294,623,314,309,395,225,170,-,-,-,1231,816,415,12653,8019,4634,2397,1652,745,79,58,21
101學年,工程學門,70561,60945,9616,771,717,54,679,597,82,40,29,11,2183,1867,316,46292,40539,5753,18959,15759,3200,1637,1437,200
101學年,建築及都市規劃學門,3019,1587,1432,17,12,5,59,35,24,-,-,-,48,30,18,2158,1113,1045,708,377,331,29,20,9
101學年,農業科學學門,6268,3033,3235,-,-,-,82,41,41,-,-,-,3,3,-,4756,2304,2452,1329,629,700,98,56,42
101學年,獸醫學門,385,200,185,-,-,-,-,-,-,-,-,-,-,-,-,243,118,125,124,68,56,18,14,4
101學年,醫藥衛生學門,27609,6731,20878,7444,701,6743,463,247,216,9,3,6,6564,443,6121,10329,4249,6080,2362,844,1518,438,244,194
