學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
101學年,桃園縣,1612,661,951,-,-,-,-,-,-,1605,661,944,7,-,7,739,329,410,-,-,-,-,-,-,736,328,408,3,1,2
101學年,新竹縣,472,169,303,-,-,-,-,-,-,459,161,298,13,8,5,242,85,157,-,-,-,-,-,-,234,79,155,8,6,2
101學年,苗栗縣,600,259,341,-,-,-,-,-,-,600,259,341,-,-,-,253,95,158,-,-,-,-,-,-,253,95,158,-,-,-
101學年,彰化縣,939,456,483,-,-,-,-,-,-,939,456,483,-,-,-,443,214,229,-,-,-,-,-,-,443,214,229,-,-,-
101學年,南投縣,536,265,271,-,-,-,-,-,-,517,259,258,19,6,13,234,108,126,-,-,-,-,-,-,224,106,118,10,2,8
101學年,雲林縣,752,354,398,-,-,-,-,-,-,746,353,393,6,1,5,330,165,165,-,-,-,-,-,-,304,148,156,26,17,9
101學年,嘉義縣,420,241,179,-,-,-,-,-,-,420,241,179,-,-,-,231,98,133,-,-,-,-,-,-,231,98,133,-,-,-
101學年,屏東縣,744,403,341,14,3,11,-,-,-,730,400,330,-,-,-,325,163,162,-,-,-,-,-,-,314,157,157,11,6,5
101學年,臺東縣,303,139,164,11,4,7,-,-,-,288,132,156,4,3,1,157,75,82,-,-,-,-,-,-,153,72,81,4,3,1
101學年,花蓮縣,357,140,217,17,5,12,-,-,-,337,132,205,3,3,-,170,80,90,-,-,-,-,-,-,170,80,90,-,-,-
101學年,澎湖縣,129,59,70,-,-,-,-,-,-,129,59,70,-,-,-,65,38,27,-,-,-,-,-,-,65,38,27,-,-,-
101學年,基隆市,291,124,167,-,-,-,-,-,-,288,122,166,3,2,1,147,51,96,-,-,-,-,-,-,147,51,96,-,-,-
101學年,新竹市,335,96,239,16,4,12,-,-,-,311,88,223,8,4,4,162,59,103,-,-,-,-,-,-,162,59,103,-,-,-
101學年,嘉義市,243,106,137,15,8,7,-,-,-,228,98,130,-,-,-,103,49,54,-,-,-,-,-,-,103,49,54,-,-,-
101學年,金門縣,77,29,48,-,-,-,-,-,-,77,29,48,-,-,-,44,27,17,-,-,-,-,-,-,44,27,17,-,-,-
101學年,連江縣,15,7,8,-,-,-,-,-,-,15,7,8,-,-,-,13,9,4,-,-,-,-,-,-,13,9,4,-,-,-
100學年,總計,17404,7790,9614,129,44,85,8725,3793,4932,8368,3872,4496,182,81,101,7926,3400,4526,-,-,-,3926,1582,2344,3903,1763,2140,97,55,42
100學年,新北市,1952,847,1105,-,-,-,1929,837,1092,-,-,-,23,10,13,852,313,539,-,-,-,840,304,536,-,-,-,12,9,3
100學年,臺北市,1790,679,1111,23,8,15,1702,642,1060,-,-,-,65,29,36,789,296,493,-,-,-,775,289,486,-,-,-,14,7,7
100學年,臺中市,2048,954,1094,14,2,12,2005,943,1062,-,-,-,29,9,20,939,424,515,-,-,-,937,424,513,-,-,-,2,-,2
100學年,臺南市,1046,544,502,18,7,11,1027,537,490,-,-,-,1,-,1,566,254,312,-,-,-,559,249,310,-,-,-,7,5,2
100學年,高雄市,2062,834,1228,-,-,-,2062,834,1228,-,-,-,-,-,-,816,316,500,-,-,-,815,316,499,-,-,-,1,-,1
100學年,宜蘭縣,438,228,210,-,-,-,-,-,-,438,228,210,-,-,-,257,111,146,-,-,-,-,-,-,257,111,146,-,-,-
100學年,桃園縣,1648,706,942,-,-,-,-,-,-,1639,704,935,9,2,7,761,335,426,-,-,-,-,-,-,761,335,426,-,-,-
100學年,新竹縣,479,178,301,-,-,-,-,-,-,465,169,296,14,9,5,237,83,154,-,-,-,-,-,-,228,77,151,9,6,3
100學年,苗栗縣,622,279,343,-,-,-,-,-,-,622,279,343,-,-,-,251,97,154,-,-,-,-,-,-,251,97,154,-,-,-
100學年,彰化縣,984,489,495,-,-,-,-,-,-,984,489,495,-,-,-,443,229,214,-,-,-,-,-,-,443,229,214,-,-,-
100學年,南投縣,539,274,265,-,-,-,-,-,-,523,269,254,16,5,11,220,102,118,-,-,-,-,-,-,210,100,110,10,2,8
100學年,雲林縣,769,355,414,-,-,-,-,-,-,764,353,411,5,2,3,336,166,170,-,-,-,-,-,-,309,148,161,27,18,9
100學年,嘉義縣,426,261,165,-,-,-,-,-,-,426,261,165,-,-,-,225,101,124,-,-,-,-,-,-,225,101,124,-,-,-
100學年,屏東縣,797,425,372,12,3,9,-,-,-,785,422,363,-,-,-,340,173,167,-,-,-,-,-,-,330,169,161,10,4,6
100學年,臺東縣,302,142,160,11,5,6,-,-,-,286,133,153,5,4,1,159,72,87,-,-,-,-,-,-,154,68,86,5,4,1
100學年,花蓮縣,361,151,210,17,8,9,-,-,-,341,141,200,3,2,1,173,82,91,-,-,-,-,-,-,173,82,91,-,-,-
100學年,澎湖縣,130,59,71,-,-,-,-,-,-,130,59,71,-,-,-,70,41,29,-,-,-,-,-,-,70,41,29,-,-,-
100學年,基隆市,333,142,191,-,-,-,-,-,-,330,139,191,3,3,-,177,61,116,-,-,-,-,-,-,177,61,116,-,-,-
100學年,新竹市,337,103,234,16,5,11,-,-,-,312,92,220,9,6,3,159,57,102,-,-,-,-,-,-,159,57,102,-,-,-
100學年,嘉義市,248,104,144,18,6,12,-,-,-,230,98,132,-,-,-,99,50,49,-,-,-,-,-,-,99,50,49,-,-,-
100學年,金門縣,77,28,49,-,-,-,-,-,-,77,28,49,-,-,-,42,25,17,-,-,-,-,-,-,42,25,17,-,-,-
100學年,連江縣,16,8,8,-,-,-,-,-,-,16,8,8,-,-,-,15,12,3,-,-,-,-,-,-,15,12,3,-,-,-
99學年,總計,17151,7890,9261,131,40,91,2702,1021,1681,14132,6749,7383,186,80,106,7922,3414,4508,-,-,-,1183,451,732,6645,2905,3740,94,58,36
99學年,臺北市,1806,684,1122,22,7,15,1716,650,1066,-,-,-,68,27,41,801,310,491,-,-,-,786,301,485,-,-,-,15,9,6
99學年,高雄市,986,371,615,-,-,-,986,371,615,-,-,-,-,-,-,397,150,247,-,-,-,397,150,247,-,-,-,-,-,-
99學年,臺北縣,1919,876,1043,-,-,-,-,-,-,1896,866,1030,23,10,13,838,311,527,-,-,-,-,-,-,826,302,524,12,9,3
99學年,宜蘭縣,452,230,222,-,-,-,-,-,-,452,230,222,-,-,-,250,106,144,-,-,-,-,-,-,250,106,144,-,-,-
99學年,桃園縣,1632,748,884,-,-,-,-,-,-,1624,745,879,8,3,5,731,301,430,-,-,-,-,-,-,731,301,430,-,-,-
99學年,新竹縣,489,176,313,-,-,-,-,-,-,477,168,309,12,8,4,242,82,160,-,-,-,-,-,-,235,79,156,7,3,4
99學年,苗栗縣,613,279,334,-,-,-,-,-,-,613,279,334,-,-,-,253,110,143,-,-,-,-,-,-,253,110,143,-,-,-
99學年,臺中縣,942,558,384,-,-,-,-,-,-,933,556,377,9,2,7,616,292,324,-,-,-,-,-,-,616,292,324,-,-,-
99學年,彰化縣,943,500,443,-,-,-,-,-,-,943,500,443,-,-,-,451,233,218,-,-,-,-,-,-,451,233,218,-,-,-
99學年,南投縣,540,277,263,-,-,-,-,-,-,525,270,255,15,7,8,224,110,114,-,-,-,-,-,-,215,105,110,9,5,4
99學年,雲林縣,759,361,398,-,-,-,-,-,-,755,359,396,4,2,2,332,163,169,-,-,-,-,-,-,304,144,160,28,19,9
99學年,嘉義縣,429,272,157,-,-,-,-,-,-,429,272,157,-,-,-,223,104,119,-,-,-,-,-,-,223,104,119,-,-,-
99學年,臺南縣,590,351,239,-,-,-,-,-,-,590,351,239,-,-,-,330,152,178,-,-,-,-,-,-,323,147,176,7,5,2
99學年,高雄縣,1141,518,623,-,-,-,-,-,-,1141,518,623,-,-,-,451,179,272,-,-,-,-,-,-,451,179,272,-,-,-
