學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
98學年,30歲以上,121044,64567,56477,28207,15005,13202,28475,15463,13012,24070,12079,11991,22343,11252,11091,7010,3619,3391,3534,2387,1147,2641,1934,707,4764,2828,1936,7,5,2,2,-,2,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,2,2,-,3425,1333,2092,1429,538,891,1577,620,957,250,79,171,23,13,10,-,-,-,-,-,-,-,-,-,146,83,63,31027,13164,17863,3104,1423,1681,2946,1472,1474,9206,3657,5549,11763,5023,6740,2266,546,1720,149,125,24,136,99,37,1457,819,638,65412,35475,29937,20595,10942,9653,20942,11357,9585,11297,6079,5218,7393,4078,3315,1711,969,742,747,408,339,25,6,19,2702,1636,1066,21173,14590,6583,3077,2102,975,3010,2014,996,3315,2262,1053,3163,2137,1026,3033,2104,929,2638,1854,784,2480,1829,651,457,288,169
97學年,總計,1337455,683114,654341,351800,183862,167938,332720,174257,158463,295963,145585,150378,270075,130393,139682,30838,11567,19271,5240,3635,1605,3692,2664,1028,47127,31151,15976,84787,23124,61663,16938,4322,12616,17904,4776,13128,16717,4477,12240,15875,4138,11737,14055,3846,10209,-,-,-,-,-,-,3298,1565,1733,32866,17451,15415,12407,6224,6183,15011,7756,7255,1280,600,680,-,-,-,-,-,-,-,-,-,-,-,-,4168,2871,1297,1006102,513338,492764,245356,127281,118075,228044,117989,110055,245048,121295,123753,236192,115607,120585,11119,3849,7270,1696,1141,555,1422,965,457,37225,25211,12014,180809,105470,75339,70682,41515,29167,65432,39236,26196,27322,15173,12149,12639,6735,5904,1639,944,695,641,357,284,18,6,12,2436,1504,932,32891,23731,9160,6417,4520,1897,6329,4500,1829,5596,4040,1556,5369,3913,1456,4025,2928,1097,2903,2137,766,2252,1693,559,-,-,-
97學年,未滿16歲,14135,3337,10798,14024,3315,10709,111,22,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14135,3337,10798,14024,3315,10709,111,22,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,16至未滿17歲,16883,4236,12647,2677,881,1796,14114,3343,10771,92,12,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16877,4232,12645,2672,878,1794,14113,3342,10771,92,12,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2,5,3,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,17至未滿18歲,17564,4855,12709,1239,600,639,3175,1149,2026,13055,3097,9958,95,9,86,-,-,-,-,-,-,-,-,-,-,-,-,16476,4330,12146,159,80,79,3168,1145,2023,13054,3096,9958,95,9,86,-,-,-,-,-,-,-,-,-,-,-,-,17,5,12,17,5,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1071,520,551,1063,515,548,7,4,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,18至未滿19歲,183740,88369,95371,166508,83638,82870,1461,651,810,3061,1125,1936,12582,2937,9645,128,18,110,-,-,-,-,-,-,-,-,-,16171,4296,11875,43,29,14,367,191,176,3052,1121,1931,12582,2937,9645,127,18,109,-,-,-,-,-,-,-,-,-,4600,2223,2377,4571,2214,2357,29,9,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162969,81850,81119,161894,81395,80499,1065,451,614,9,4,5,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,19至未滿20歲,214976,105257,109719,55197,29547,25650,144367,71296,73071,1870,829,1041,2764,964,1800,10740,2608,8132,-,-,-,-,-,-,38,13,25,13970,3776,10194,18,8,10,77,40,37,358,158,200,2746,954,1792,10740,2608,8132,-,-,-,-,-,-,31,8,23,8152,4225,3927,2494,1348,1146,5647,2870,2777,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,7,5,2,192853,97256,95597,52684,28191,24493,138643,68386,70257,1508,669,839,18,10,8,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,20至未滿21歲,218993,108606,110387,12439,6895,5544,61691,33462,28229,137424,64939,72485,1877,831,1046,2735,987,1748,1,-,1,-,-,-,2826,1492,1334,4949,2003,2946,10,6,4,33,13,20,89,50,39,343,180,163,2734,986,1748,-,-,-,-,-,-,1740,768,972,5798,3410,2388,999,525,474,3419,1995,1424,295,166,129,-,-,-,-,-,-,-,-,-,-,-,-,1085,724,361,208246,103193,105053,11430,6364,5066,58239,31454,26785,137040,64723,72317,1534,651,883,1,1,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,21至未滿22歲,196832,97597,99235,5019,2845,2174,13403,7670,5733,54106,28718,25388,121666,56767,64899,402,206,196,-,-,-,-,-,-,2236,1391,845,1467,750,717,6,4,2,18,10,8,42,26,16,69,34,35,353,176,177,-,-,-,-,-,-,979,500,479,2746,1674,1072,448,242,206,1037,560,477,196,104,92,-,-,-,-,-,-,-,-,-,-,-,-,1065,768,297,192384,95049,97335,4334,2478,1856,12344,7097,5247,53868,28588,25280,121597,56733,64864,49,30,19,-,-,-,-,-,-,192,123,69,235,124,111,231,121,110,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,22至未滿23歲,108701,61136,47565,19089,11860,7229,5266,2949,2317,14776,8156,6620,53379,27588,25791,1825,886,939,33,18,15,2,2,-,14331,9677,4654,434,220,214,2,1,1,2,2,-,22,11,11,16,12,4,58,35,23,-,-,-,-,-,-,334,159,175,1693,955,738,373,186,187,581,277,304,118,50,68,-,-,-,-,-,-,-,-,-,-,-,-,621,442,179,90166,49650,40516,2539,1503,1036,4451,2530,1921,14635,8094,6541,53363,27576,25787,1767,851,916,33,18,15,2,2,-,13376,9076,4300,16387,10295,6092,16155,10155,6000,231,139,92,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,16,5,20,15,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,23至未滿24歲,73027,43808,29219,16387,10226,6161,18404,11664,6740,6713,3418,3295,17473,9484,7989,2298,994,1304,638,412,226,42,18,24,11072,7592,3480,172,107,65,-,-,-,3,3,-,4,2,2,10,7,3,27,16,11,-,-,-,-,-,-,128,79,49,1311,724,587,336,174,162,493,260,233,100,44,56,-,-,-,-,-,-,-,-,-,-,-,-,382,246,136,42345,24502,17843,2055,1294,761,2781,1723,1058,6534,3334,3200,17462,9476,7986,2271,978,1293,638,412,226,42,18,24,10562,7267,3295,28979,18309,10670,13800,8608,5192,15104,9663,5441,74,37,37,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,220,166,54,196,150,46,23,15,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,24至未滿25歲,49230,29886,19344,9407,6031,3376,15430,9896,5534,8980,5194,3786,7539,3704,3835,1143,414,729,582,415,167,532,359,173,5617,3873,1744,62,34,28,-,-,-,3,3,-,-,-,-,6,3,3,6,1,5,-,-,-,-,-,-,47,27,20,1229,728,501,336,194,142,504,283,221,77,37,40,-,-,-,-,-,-,-,-,-,-,-,-,312,214,98,23895,13917,9978,1635,1069,566,2274,1494,780,4973,2849,2124,7504,3686,3818,1137,413,724,582,415,167,532,359,173,5258,3632,1626,23058,14438,8620,6679,4180,2499,12440,7951,4489,3910,2292,1618,29,15,14,-,-,-,-,-,-,-,-,-,-,-,-,986,769,217,757,588,169,209,165,44,20,16,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,25至未滿26歲,34632,20780,13852,6187,3828,2359,9111,5811,3300,8601,5089,3512,6681,3525,3156,686,226,460,176,118,58,440,332,108,2750,1851,899,30,14,16,-,-,-,-,-,-,2,-,2,6,2,4,4,3,1,-,-,-,-,-,-,18,9,9,995,585,410,310,178,132,429,228,201,60,34,26,-,-,-,-,-,-,-,-,-,-,-,-,196,145,51,16875,9850,7025,1476,925,551,1734,1161,573,4233,2417,1816,5598,2977,2621,682,223,459,176,118,58,440,332,108,2536,1697,839,15007,8983,6024,3623,2133,1490,6201,3826,2375,4109,2480,1629,1074,544,530,-,-,-,-,-,-,-,-,-,-,-,-,1725,1348,377,778,592,186,747,596,151,197,158,39,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,26至未滿27歲,27375,16245,11130,4930,2855,2075,5964,3777,2187,7141,4241,2900,6876,3948,2928,625,166,459,45,27,18,137,89,48,1657,1142,515,20,10,10,-,-,-,3,2,1,1,-,1,1,-,1,3,1,2,-,-,-,-,-,-,12,7,5,849,496,353,267,154,113,365,204,161,51,22,29,-,-,-,-,-,-,-,-,-,-,-,-,166,116,50,13646,8012,5634,1119,705,414,1331,869,462,3683,2086,1597,5245,3059,2186,617,163,454,45,27,18,137,89,48,1469,1014,455,10703,6072,4631,2951,1589,1362,3621,2205,1416,2699,1551,1148,1420,720,700,2,2,-,-,-,-,-,-,-,10,5,5,2157,1655,502,593,407,186,644,497,147,707,582,125,210,169,41,3,-,3,-,-,-,-,-,-,-,-,-
97學年,27至未滿28歲,22686,13086,9600,4160,2365,1795,4776,2837,1939,5525,3104,2421,6137,3592,2545,844,347,497,33,16,17,65,28,37,1146,797,349,8,7,1,2,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,734,423,311,277,168,109,317,169,148,42,18,24,-,-,-,-,-,-,-,-,-,-,-,-,98,68,30,11163,6352,4811,949,597,352,1072,685,387,3042,1657,1385,4315,2451,1864,673,206,467,30,15,15,65,28,37,1017,713,304,8299,4364,3935,2500,1295,1205,2868,1601,1267,1753,881,872,1147,573,574,3,1,2,-,-,-,-,-,-,28,13,15,2482,1940,542,432,304,128,517,380,137,688,548,140,675,568,107,167,139,28,3,1,2,-,-,-,-,-,-
97學年,28至未滿29歲,18379,10139,8240,3396,1910,1486,3724,2032,1692,4352,2256,2096,4843,2707,2136,1112,587,525,137,106,31,36,22,14,779,519,260,8,3,5,-,-,-,3,-,3,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,3,2,1,582,314,268,221,122,99,269,135,134,35,18,17,-,-,-,-,-,-,-,-,-,-,-,-,57,39,18,8503,4621,3882,655,427,228,725,431,294,2458,1288,1170,3311,1804,1507,601,168,433,42,23,19,35,21,14,676,459,217,6914,3402,3512,2159,1103,1056,2333,1198,1135,1455,669,786,916,409,507,8,4,4,-,-,-,-,-,-,43,19,24,2372,1799,573,361,258,103,394,268,126,404,281,123,615,494,121,502,414,88,95,83,12,1,1,-,-,-,-
97學年,29至未滿30歲,16866,9112,7754,3180,1770,1410,3457,1906,1551,3983,1986,1997,4184,2186,1998,1019,506,513,358,293,65,106,74,32,579,391,188,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,611,336,275,237,125,112,288,162,126,42,19,23,-,-,-,-,-,-,-,-,-,-,-,-,44,30,14,7479,3869,3610,595,351,244,608,382,226,2198,1079,1119,2961,1505,1456,568,170,398,31,25,6,45,28,17,473,329,144,6536,3255,3281,2069,1104,965,2199,1107,1092,1344,626,718,835,383,452,28,5,23,1,-,1,-,-,-,60,30,30,2238,1650,588,279,190,89,362,255,107,399,262,137,388,298,90,423,331,92,326,268,58,61,46,15,-,-,-
97學年,30歲以上,123436,66665,56771,27961,15296,12665,28266,15792,12474,26284,13421,12863,23979,12151,11828,7281,3622,3659,3237,2230,1007,2332,1740,592,4096,2413,1683,6,3,3,2,-,2,1,1,-,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,3549,1353,2196,1521,589,932,1633,604,1029,260,86,174,-,-,-,-,-,-,-,-,-,-,-,-,135,74,61,34501,14693,19808,2923,1464,1459,2769,1321,1448,10866,4506,6360,13284,5679,7605,2752,646,2106,118,88,30,124,88,36,1665,901,764,64690,36228,28462,20514,11227,9287,20431,11543,8888,11977,6636,5341,7217,4090,3127,1598,932,666,640,357,283,18,6,12,2295,1437,858,20690,14388,6302,3001,2016,985,3432,2323,1109,3180,2192,988,3478,2382,1096,2930,2044,886,2479,1785,694,2190,1646,544,-,-,-
""
