學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
103學年,宜蘭縣,25,-,-,25,-,10,-,-,10,-,8,-,-,8,-,7,-,-,7,-
103學年,桃園縣,53,-,-,53,-,18,-,-,18,-,17,-,-,17,-,18,-,-,18,-
103學年,新竹縣,8,-,-,8,-,3,-,-,3,-,2,-,-,2,-,3,-,-,3,-
103學年,苗栗縣,17,-,-,17,-,6,-,-,6,-,6,-,-,6,-,5,-,-,5,-
103學年,彰化縣,10,-,-,10,-,3,-,-,3,-,1,-,-,1,-,6,-,-,6,-
103學年,南投縣,7,-,-,7,-,3,-,-,3,-,2,-,-,2,-,2,-,-,2,-
103學年,雲林縣,16,-,-,16,-,5,-,-,5,-,4,-,-,4,-,7,-,-,7,-
103學年,嘉義縣,6,-,-,6,-,2,-,-,2,-,3,-,-,3,-,1,-,-,1,-
103學年,屏東縣,24,-,-,24,-,7,-,-,7,-,9,-,-,9,-,8,-,-,8,-
103學年,臺東縣,3,-,-,3,-,-,-,-,-,-,2,-,-,2,-,1,-,-,1,-
103學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
103學年,澎湖縣,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
103學年,基隆市,19,-,-,19,-,6,-,-,6,-,6,-,-,6,-,7,-,-,7,-
103學年,新竹市,7,-,-,7,-,3,-,-,3,-,1,-,-,1,-,3,-,-,3,-
103學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,657,-,433,224,-,209,-,141,68,-,217,-,143,74,-,231,-,149,82,-
102學年,新北市,175,-,175,-,-,58,-,58,-,-,59,-,59,-,-,58,-,58,-,-
102學年,臺北市,75,-,75,-,-,26,-,26,-,-,24,-,24,-,-,25,-,25,-,-
102學年,臺中市,79,-,79,-,-,27,-,27,-,-,27,-,27,-,-,25,-,25,-,-
102學年,臺南市,48,-,48,-,-,16,-,16,-,-,16,-,16,-,-,16,-,16,-,-
102學年,高雄市,56,-,56,-,-,14,-,14,-,-,17,-,17,-,-,25,-,25,-,-
102學年,宜蘭縣,25,-,-,25,-,8,-,-,8,-,7,-,-,7,-,10,-,-,10,-
102學年,桃園縣,55,-,-,55,-,17,-,-,17,-,19,-,-,19,-,19,-,-,19,-
102學年,新竹縣,8,-,-,8,-,2,-,-,2,-,3,-,-,3,-,3,-,-,3,-
102學年,苗栗縣,17,-,-,17,-,7,-,-,7,-,6,-,-,6,-,4,-,-,4,-
102學年,彰化縣,9,-,-,9,-,1,-,-,1,-,5,-,-,5,-,3,-,-,3,-
102學年,南投縣,7,-,-,7,-,2,-,-,2,-,2,-,-,2,-,3,-,-,3,-
102學年,雲林縣,20,-,-,20,-,4,-,-,4,-,7,-,-,7,-,9,-,-,9,-
102學年,嘉義縣,7,-,-,7,-,3,-,-,3,-,1,-,-,1,-,3,-,-,3,-
102學年,屏東縣,25,-,-,25,-,9,-,-,9,-,8,-,-,8,-,8,-,-,8,-
102學年,臺東縣,5,-,-,5,-,1,-,-,1,-,2,-,-,2,-,2,-,-,2,-
102學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
102學年,澎湖縣,2,-,-,2,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,23,-,-,23,-,6,-,-,6,-,7,-,-,7,-,10,-,-,10,-
102學年,新竹市,9,-,-,9,-,2,-,-,2,-,3,-,-,3,-,4,-,-,4,-
102學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,698,-,454,244,-,221,-,148,73,-,230,-,148,82,-,247,-,158,89,-
101學年,新北市,184,-,184,-,-,61,-,61,-,-,59,-,59,-,-,64,-,64,-,-
