學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
104學年,電算機學門,1942,1538,404,323,271,52,658,542,116,677,533,144,247,166,81,32,25,7,5,1,4
104學年,工程學門,9116,8396,720,3644,3459,185,3185,2922,263,1677,1489,188,492,435,57,78,73,5,40,18,22
104學年,建築及都市規劃學門,522,404,118,87,78,9,181,145,36,182,129,53,51,37,14,20,15,5,1,-,1
104學年,農業科學學門,905,664,241,334,265,69,303,217,86,209,148,61,42,22,20,14,10,4,3,2,1
104學年,獸醫學門,122,97,25,58,50,8,36,30,6,26,16,10,1,-,1,-,-,-,1,1,-
104學年,醫藥衛生學門,5903,2788,3115,1331,945,386,1451,826,625,1555,758,797,1011,213,798,525,45,480,30,1,29
104學年,社會服務學門,850,284,566,88,43,45,216,75,141,358,122,236,159,38,121,29,6,23,-,-,-
104學年,民生學門,3666,2172,1494,362,293,69,975,621,354,1244,736,508,653,249,404,432,273,159,-,-,-
104學年,運輸服務學門,275,218,57,59,54,5,101,82,19,88,65,23,18,10,8,6,5,1,3,2,1
104學年,環境保護學門,90,65,25,26,21,5,40,30,10,20,12,8,2,1,1,2,1,1,-,-,-
104學年,軍警國防安全學門,22,21,1,2,2,-,12,12,-,5,5,-,3,2,1,-,-,-,-,-,-
104學年,其他學門,4280,2277,2003,368,268,100,878,498,380,774,412,362,967,445,522,1217,638,579,76,16,60
103學年,總計,49357,31978,17379,11776,9405,2371,15078,10255,4823,13297,8097,5200,6000,2709,3291,2886,1441,1445,320,71,249
103學年,教育學門,1544,743,801,572,338,234,523,240,283,362,129,233,63,29,34,17,7,10,7,-,7
103學年,藝術學門,1169,592,577,312,166,146,342,155,187,294,145,149,101,46,55,110,80,30,10,-,10
103學年,人文學門,4340,1893,2447,819,471,348,1371,564,807,1414,581,833,570,214,356,139,57,82,27,6,21
103學年,設計學門,1714,1179,535,147,124,23,411,316,95,636,404,232,346,210,136,173,124,49,1,1,-
103學年,社會及行為科學學門,1859,1198,661,616,437,179,678,451,227,497,287,210,31,12,19,16,10,6,21,1,20
103學年,傳播學門,697,414,283,126,72,54,223,129,94,235,141,94,67,37,30,42,35,7,4,-,4
103學年,商業及管理學門,5936,3700,2236,1123,896,227,2084,1320,764,1960,1138,822,657,281,376,96,63,33,16,2,14
103學年,法律學門,567,411,156,193,155,38,202,142,60,149,96,53,10,8,2,13,10,3,-,-,-
103學年,生命科學學門,1170,794,376,429,310,119,375,254,121,334,219,115,17,3,14,5,4,1,10,4,6
103學年,自然科學學門,1335,1117,218,655,591,64,379,306,73,250,196,54,15,7,8,8,7,1,28,10,18
