學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
103學年,屏東縣,167,134,33,1,1,-,-,-,-,166,133,33,-,-,-,35,24,11,-,-,-,-,-,-,34,23,11,1,1,-
103學年,臺東縣,91,67,24,1,1,-,-,-,-,89,65,24,1,1,-,22,18,4,-,-,-,-,-,-,21,17,4,1,1,-
103學年,花蓮縣,103,71,32,1,-,1,-,-,-,101,71,30,1,-,1,23,13,10,-,-,-,-,-,-,23,13,10,-,-,-
103學年,澎湖縣,40,32,8,-,-,-,-,-,-,40,32,8,-,-,-,14,10,4,-,-,-,-,-,-,14,10,4,-,-,-
103學年,基隆市,43,30,13,-,-,-,-,-,-,42,30,12,1,-,1,11,9,2,-,-,-,-,-,-,11,9,2,-,-,-
103學年,新竹市,32,17,15,1,1,-,-,-,-,29,15,14,2,1,1,13,8,5,-,-,-,-,-,-,12,7,5,1,1,-
103學年,嘉義市,20,12,8,1,1,-,-,-,-,19,11,8,-,-,-,8,7,1,-,-,-,-,-,-,8,7,1,-,-,-
103學年,金門縣,19,15,4,-,-,-,-,-,-,19,15,4,-,-,-,5,3,2,-,-,-,-,-,-,5,3,2,-,-,-
103學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
102學年,總計,2650,1853,797,9,5,4,1026,701,325,1578,1128,450,37,19,18,738,496,242,-,-,-,330,215,115,391,267,124,17,14,3
102學年,新北市,214,149,65,-,-,-,208,146,62,-,-,-,6,3,3,64,38,26,-,-,-,63,37,26,-,-,-,1,1,-
102學年,臺北市,152,86,66,2,1,1,140,80,60,-,-,-,10,5,5,62,33,29,-,-,-,59,31,28,-,-,-,3,2,1
102學年,臺中市,234,156,78,1,1,-,228,152,76,-,-,-,5,3,2,72,47,25,-,-,-,71,46,25,-,-,-,1,1,-
102學年,臺南市,211,162,49,1,1,-,209,160,49,-,-,-,1,1,-,60,50,10,-,-,-,58,48,10,-,-,-,2,2,-
102學年,高雄市,241,163,78,-,-,-,241,163,78,-,-,-,-,-,-,80,53,27,-,-,-,79,53,26,-,-,-,1,-,1
102學年,宜蘭縣,77,68,9,-,-,-,-,-,-,77,68,9,-,-,-,25,18,7,-,-,-,-,-,-,25,18,7,-,-,-
102學年,桃園縣,190,115,75,-,-,-,-,-,-,186,113,73,4,2,2,57,33,24,-,-,-,-,-,-,56,32,24,1,1,-
102學年,新竹縣,85,52,33,-,-,-,-,-,-,83,51,32,2,1,1,29,12,17,-,-,-,-,-,-,28,11,17,1,1,-
102學年,苗栗縣,121,84,37,-,-,-,-,-,-,121,84,37,-,-,-,29,23,6,-,-,-,-,-,-,29,23,6,-,-,-
102學年,彰化縣,175,128,47,-,-,-,-,-,-,175,128,47,-,-,-,36,24,12,-,-,-,-,-,-,36,24,12,-,-,-
102學年,南投縣,145,106,39,-,-,-,-,-,-,143,105,38,2,1,1,32,20,12,-,-,-,-,-,-,31,20,11,1,-,1
102學年,雲林縣,156,116,40,-,-,-,-,-,-,154,115,39,2,1,1,33,26,7,-,-,-,-,-,-,30,23,7,3,3,-
102學年,嘉義縣,124,88,36,-,-,-,-,-,-,124,88,36,-,-,-,23,18,5,-,-,-,-,-,-,23,18,5,-,-,-
102學年,屏東縣,168,130,38,1,-,1,-,-,-,167,130,37,-,-,-,35,26,9,-,-,-,-,-,-,34,25,9,1,1,-
102學年,臺東縣,91,67,24,1,-,1,-,-,-,89,66,23,1,1,-,22,19,3,-,-,-,-,-,-,21,18,3,1,1,-
102學年,花蓮縣,104,71,33,1,-,1,-,-,-,102,71,31,1,-,1,23,14,9,-,-,-,-,-,-,23,14,9,-,-,-
102學年,澎湖縣,40,31,9,-,-,-,-,-,-,40,31,9,-,-,-,14,10,4,-,-,-,-,-,-,14,10,4,-,-,-
102學年,基隆市,43,29,14,-,-,-,-,-,-,42,29,13,1,-,1,11,9,2,-,-,-,-,-,-,11,9,2,-,-,-
102學年,新竹市,32,16,16,1,1,-,-,-,-,29,14,15,2,1,1,13,8,5,-,-,-,-,-,-,12,7,5,1,1,-
102學年,嘉義市,20,11,9,1,1,-,-,-,-,19,10,9,-,-,-,8,7,1,-,-,-,-,-,-,8,7,1,-,-,-
102學年,金門縣,19,19,-,-,-,-,-,-,-,19,19,-,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
102學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
101學年,總計,2657,1868,789,9,4,5,1026,710,316,1586,1135,451,36,19,17,740,502,238,-,-,-,330,211,119,393,278,115,17,13,4
101學年,新北市,213,147,66,-,-,-,207,144,63,-,-,-,6,3,3,66,39,27,-,-,-,64,37,27,-,-,-,2,2,-
101學年,臺北市,153,88,65,2,1,1,141,82,59,-,-,-,10,5,5,62,32,30,-,-,-,59,30,29,-,-,-,3,2,1
101學年,臺中市,233,158,75,1,1,-,228,156,72,-,-,-,4,1,3,71,48,23,-,-,-,71,48,23,-,-,-,-,-,-
101學年,臺南市,211,162,49,1,1,-,209,160,49,-,-,-,1,1,-,60,46,14,-,-,-,58,44,14,-,-,-,2,2,-
101學年,高雄市,241,168,73,-,-,-,241,168,73,-,-,-,-,-,-,79,52,27,-,-,-,78,52,26,-,-,-,1,-,1
101學年,宜蘭縣,77,66,11,-,-,-,-,-,-,77,66,11,-,-,-,25,19,6,-,-,-,-,-,-,25,19,6,-,-,-
101學年,桃園縣,191,116,75,-,-,-,-,-,-,187,112,75,4,4,-,57,33,24,-,-,-,-,-,-,56,32,24,1,1,-
101學年,新竹縣,85,54,31,-,-,-,-,-,-,83,53,30,2,1,1,29,13,16,-,-,-,-,-,-,28,12,16,1,1,-
101學年,苗栗縣,121,80,41,-,-,-,-,-,-,121,80,41,-,-,-,31,25,6,-,-,-,-,-,-,31,25,6,-,-,-
101學年,彰化縣,175,129,46,-,-,-,-,-,-,175,129,46,-,-,-,37,26,11,-,-,-,-,-,-,37,26,11,-,-,-
101學年,南投縣,149,109,40,-,-,-,-,-,-,147,108,39,2,1,1,32,22,10,-,-,-,-,-,-,31,22,9,1,-,1
101學年,雲林縣,156,117,39,-,-,-,-,-,-,154,116,38,2,1,1,32,24,8,-,-,-,-,-,-,29,21,8,3,3,-
101學年,嘉義縣,124,91,33,-,-,-,-,-,-,124,91,33,-,-,-,23,19,4,-,-,-,-,-,-,23,19,4,-,-,-
101學年,屏東縣,168,132,36,1,-,1,-,-,-,167,132,35,-,-,-,35,28,7,-,-,-,-,-,-,34,27,7,1,1,-
101學年,臺東縣,92,66,26,1,-,1,-,-,-,90,66,24,1,-,1,22,18,4,-,-,-,-,-,-,21,18,3,1,-,1
101學年,花蓮縣,106,73,33,1,-,1,-,-,-,104,73,31,1,-,1,23,14,9,-,-,-,-,-,-,23,14,9,-,-,-
101學年,澎湖縣,40,31,9,-,-,-,-,-,-,40,31,9,-,-,-,14,10,4,-,-,-,-,-,-,14,10,4,-,-,-
101學年,基隆市,43,30,13,-,-,-,-,-,-,42,29,13,1,1,-,11,10,1,-,-,-,-,-,-,11,10,1,-,-,-
101學年,新竹市,32,14,18,1,-,1,-,-,-,29,13,16,2,1,1,13,9,4,-,-,-,-,-,-,12,8,4,1,1,-
101學年,嘉義市,20,12,8,1,1,-,-,-,-,19,11,8,-,-,-,8,7,1,-,-,-,-,-,-,8,7,1,-,-,-
101學年,金門縣,19,19,-,-,-,-,-,-,-,19,19,-,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
101學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
100學年,總計,2659,1883,776,9,5,4,1025,712,313,1589,1150,439,36,16,20,742,512,230,-,-,-,331,209,122,395,291,104,16,12,4
100學年,新北市,212,149,63,-,-,-,206,147,59,-,-,-,6,2,4,66,37,29,-,-,-,65,36,29,-,-,-,1,1,-
100學年,臺北市,153,89,64,2,2,-,141,82,59,-,-,-,10,5,5,62,31,31,-,-,-,59,29,30,-,-,-,3,2,1
100學年,臺中市,234,160,74,1,1,-,228,157,71,-,-,-,5,2,3,72,48,24,-,-,-,71,47,24,-,-,-,1,1,-
100學年,臺南市,211,161,50,1,1,-,209,160,49,-,-,-,1,-,1,60,46,14,-,-,-,58,44,14,-,-,-,2,2,-
100學年,高雄市,241,166,75,-,-,-,241,166,75,-,-,-,-,-,-,79,53,26,-,-,-,78,53,25,-,-,-,1,-,1
100學年,宜蘭縣,77,67,10,-,-,-,-,-,-,77,67,10,-,-,-,25,21,4,-,-,-,-,-,-,25,21,4,-,-,-
100學年,桃園縣,190,124,66,-,-,-,-,-,-,187,122,65,3,2,1,57,35,22,-,-,-,-,-,-,57,35,22,-,-,-
100學年,新竹縣,86,55,31,-,-,-,-,-,-,84,54,30,2,1,1,29,14,15,-,-,-,-,-,-,28,13,15,1,1,-
100學年,苗栗縣,121,78,43,-,-,-,-,-,-,121,78,43,-,-,-,31,25,6,-,-,-,-,-,-,31,25,6,-,-,-
100學年,彰化縣,175,130,45,-,-,-,-,-,-,175,130,45,-,-,-,37,27,10,-,-,-,-,-,-,37,27,10,-,-,-
100學年,南投縣,149,108,41,-,-,-,-,-,-,147,107,40,2,1,1,32,22,10,-,-,-,-,-,-,31,22,9,1,-,1
100學年,雲林縣,156,116,40,-,-,-,-,-,-,154,115,39,2,1,1,32,25,7,-,-,-,-,-,-,29,22,7,3,3,-
100學年,嘉義縣,125,95,30,-,-,-,-,-,-,125,95,30,-,-,-,23,21,2,-,-,-,-,-,-,23,21,2,-,-,-
100學年,屏東縣,168,132,36,1,-,1,-,-,-,167,132,35,-,-,-,35,30,5,-,-,-,-,-,-,34,29,5,1,1,-
100學年,臺東縣,92,65,27,1,-,1,-,-,-,90,65,25,1,-,1,22,18,4,-,-,-,-,-,-,21,18,3,1,-,1
100學年,花蓮縣,106,75,31,1,-,1,-,-,-,104,75,29,1,-,1,23,15,8,-,-,-,-,-,-,23,15,8,-,-,-
100學年,澎湖縣,41,33,8,-,-,-,-,-,-,41,33,8,-,-,-,14,10,4,-,-,-,-,-,-,14,10,4,-,-,-
100學年,基隆市,43,29,14,-,-,-,-,-,-,42,28,14,1,1,-,12,10,2,-,-,-,-,-,-,12,10,2,-,-,-
100學年,新竹市,32,14,18,1,-,1,-,-,-,29,13,16,2,1,1,13,9,4,-,-,-,-,-,-,12,8,4,1,1,-
100學年,嘉義市,20,12,8,1,1,-,-,-,-,19,11,8,-,-,-,8,7,1,-,-,-,-,-,-,8,7,1,-,-,-
100學年,金門縣,19,19,-,-,-,-,-,-,-,19,19,-,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
100學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
99學年,總計,2661,1905,756,9,5,4,229,140,89,2384,1745,639,39,15,24,740,516,224,-,-,-,94,54,40,630,450,180,16,12,4
99學年,臺北市,153,86,67,2,2,-,141,79,62,-,-,-,10,5,5,62,29,33,-,-,-,59,27,32,-,-,-,3,2,1
99學年,高雄市,88,61,27,-,-,-,88,61,27,-,-,-,-,-,-,36,28,8,-,-,-,35,27,8,-,-,-,1,1,-
99學年,臺北縣,210,150,60,-,-,-,-,-,-,204,148,56,6,2,4,64,39,25,-,-,-,-,-,-,63,38,25,1,1,-
99學年,宜蘭縣,77,65,12,-,-,-,-,-,-,77,65,12,-,-,-,25,22,3,-,-,-,-,-,-,25,22,3,-,-,-
99學年,桃園縣,190,129,61,-,-,-,-,-,-,187,127,60,3,2,1,56,31,25,-,-,-,-,-,-,56,31,25,-,-,-
99學年,新竹縣,84,58,26,-,-,-,-,-,-,82,57,25,2,1,1,29,14,15,-,-,-,-,-,-,28,13,15,1,1,-
99學年,苗栗縣,121,80,41,-,-,-,-,-,-,121,80,41,-,-,-,30,25,5,-,-,-,-,-,-,30,25,5,-,-,-
99學年,臺中縣,166,126,40,-,-,-,-,-,-,165,126,39,1,-,1,47,35,12,-,-,-,-,-,-,47,35,12,-,-,-
99學年,彰化縣,175,131,44,-,-,-,-,-,-,175,131,44,-,-,-,38,28,10,-,-,-,-,-,-,38,28,10,-,-,-
99學年,南投縣,149,106,43,-,-,-,-,-,-,147,105,42,2,1,1,32,23,9,-,-,-,-,-,-,31,23,8,1,-,1
99學年,雲林縣,158,114,44,-,-,-,-,-,-,156,113,43,2,1,1,32,23,9,-,-,-,-,-,-,29,20,9,3,3,-
99學年,嘉義縣,127,98,29,-,-,-,-,-,-,127,98,29,-,-,-,23,21,2,-,-,-,-,-,-,23,21,2,-,-,-
99學年,臺南縣,163,129,34,-,-,-,-,-,-,163,129,34,-,-,-,42,35,7,-,-,-,-,-,-,40,33,7,2,2,-
99學年,高雄縣,153,110,43,-,-,-,-,-,-,153,110,43,-,-,-,43,26,17,-,-,-,-,-,-,43,26,17,-,-,-
99學年,屏東縣,167,134,33,1,-,1,-,-,-,166,134,32,-,-,-,35,30,5,-,-,-,-,-,-,34,29,5,1,1,-
99學年,臺東縣,92,66,26,1,-,1,-,-,-,90,66,24,1,-,1,22,20,2,-,-,-,-,-,-,21,20,1,1,-,1
99學年,花蓮縣,107,73,34,1,-,1,-,-,-,104,73,31,2,-,2,23,16,7,-,-,-,-,-,-,23,16,7,-,-,-
99學年,澎湖縣,41,31,10,-,-,-,-,-,-,41,31,10,-,-,-,14,11,3,-,-,-,-,-,-,14,11,3,-,-,-
