學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
97學年,新竹縣,5623,3114,2509,1570,734,836,-,-,-,227,113,114,3826,2267,1559
97學年,苗栗縣,6506,3319,3187,3180,1482,1698,-,-,-,346,156,190,2980,1681,1299
97學年,臺中縣,20771,11546,9225,5651,3458,2193,-,-,-,1202,548,654,13918,7540,6378
97學年,彰化縣,15647,8293,7354,10009,5219,4790,-,-,-,133,57,76,5505,3017,2488
97學年,南投縣,4983,2488,2495,4220,2095,2125,-,-,-,177,74,103,586,319,267
97學年,雲林縣,7330,4212,3118,3638,2016,1622,-,-,-,387,209,178,3305,1987,1318
97學年,嘉義縣,3918,2306,1612,1025,681,344,-,-,-,95,36,59,2798,1589,1209
97學年,臺南縣,11959,6896,5063,7335,4216,3119,-,-,-,286,126,160,4338,2554,1784
97學年,高雄縣,11651,7029,4622,4356,2362,1994,-,-,-,1290,701,589,6005,3966,2039
97學年,屏東縣,7310,3877,3433,4476,2482,1994,-,-,-,465,160,305,2369,1235,1134
97學年,臺東縣,2289,1258,1031,1963,1079,884,-,-,-,10,8,2,316,171,145
97學年,花蓮縣,4273,2248,2025,2518,1343,1175,-,-,-,37,22,15,1718,883,835
97學年,澎湖縣,898,473,425,898,473,425,-,-,-,-,-,-,-,-,-
97學年,基隆市,5193,2403,2790,2812,1081,1731,-,-,-,360,180,180,2021,1142,879
97學年,新竹市,6787,3276,3511,2854,1452,1402,-,-,-,723,360,363,3210,1464,1746
97學年,臺中市,15780,7633,8147,7348,3844,3504,-,-,-,937,382,555,7495,3407,4088
97學年,嘉義市,6592,3131,3461,4001,1877,2124,-,-,-,-,-,-,2591,1254,1337
97學年,臺南市,11407,5582,5825,4340,2069,2271,-,-,-,225,122,103,6842,3391,3451
97學年,金門縣,579,287,292,579,287,292,-,-,-,-,-,-,-,-,-
97學年,連江縣,114,70,44,114,70,44,-,-,-,-,-,-,-,-,-
96學年,總計,279320,145777,133543,95163,50085,45078,32697,17361,15336,13099,6353,6746,138361,71978,66383
96學年,臺北市,42869,21529,21340,1594,950,644,21914,11744,10170,-,-,-,19361,8835,10526
96學年,高雄市,21791,10837,10954,523,285,238,10783,5617,5166,-,-,-,10485,4935,5550
96學年,臺北縣,32194,16548,15646,8682,5058,3624,-,-,-,4724,2338,2386,18788,9152,9636
96學年,宜蘭縣,5091,2697,2394,4606,2394,2212,-,-,-,64,36,28,421,267,154
96學年,桃園縣,26348,14310,12038,7397,3775,3622,-,-,-,1417,691,726,17534,9844,7690
96學年,新竹縣,5591,3011,2580,1592,775,817,-,-,-,200,70,130,3799,2166,1633
96學年,苗栗縣,6597,3237,3360,3232,1411,1821,-,-,-,398,182,216,2967,1644,1323
96學年,臺中縣,20541,11421,9120,5560,3371,2189,-,-,-,1237,591,646,13744,7459,6285
96學年,彰化縣,16030,8640,7390,10021,5364,4657,-,-,-,155,67,88,5854,3209,2645
96學年,南投縣,4899,2351,2548,4102,1955,2147,-,-,-,168,93,75,629,303,326
96學年,雲林縣,7145,4175,2970,3653,2054,1599,-,-,-,325,172,153,3167,1949,1218
96學年,嘉義縣,3815,2372,1443,886,669,217,-,-,-,160,88,72,2769,1615,1154
96學年,臺南縣,11785,6697,5088,7195,4018,3177,-,-,-,283,129,154,4307,2550,1757
96學年,高雄縣,12241,7422,4819,4290,2244,2046,-,-,-,1311,690,621,6640,4488,2152
96學年,屏東縣,7200,3747,3453,4385,2385,2000,-,-,-,463,164,299,2352,1198,1154
96學年,臺東縣,2224,1181,1043,1902,991,911,-,-,-,32,17,15,290,173,117
96學年,花蓮縣,4191,2164,2027,2409,1270,1139,-,-,-,47,33,14,1735,861,874
96學年,澎湖縣,874,455,419,874,455,419,-,-,-,-,-,-,-,-,-
96學年,基隆市,5291,2434,2857,2741,1097,1644,-,-,-,330,142,188,2220,1195,1025
96學年,新竹市,6732,3277,3455,2831,1429,1402,-,-,-,675,332,343,3226,1516,1710
96學年,臺中市,16119,7808,8311,7351,3789,3562,-,-,-,886,393,493,7882,3626,4256
96學年,嘉義市,7043,3217,3826,4041,1783,2258,-,-,-,-,-,-,3002,1434,1568
96學年,臺南市,11996,5882,6114,4583,2198,2385,-,-,-,224,125,99,7189,3559,3630
96學年,金門縣,619,319,300,619,319,300,-,-,-,-,-,-,-,-,-
96學年,連江縣,94,46,48,94,46,48,-,-,-,-,-,-,-,-,-
""
