學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
99學年,新竹縣,71,26,24,21,48,16,16,16,-,-,-,-,9,4,4,1,14,6,4,4
99學年,苗栗縣,116,39,40,37,83,28,28,27,-,-,-,-,6,2,2,2,27,9,10,8
99學年,臺中縣,425,148,141,136,139,49,45,45,-,-,-,-,87,31,29,27,199,68,67,64
99學年,彰化縣,271,95,89,87,191,63,64,64,-,-,-,-,34,14,10,10,46,18,15,13
99學年,南投縣,113,43,41,29,64,24,22,18,-,-,-,-,18,6,6,6,31,13,13,5
99學年,雲林縣,212,73,69,70,105,35,35,35,-,-,-,-,33,11,11,11,74,27,23,24
99學年,嘉義縣,69,24,24,21,33,11,11,11,-,-,-,-,14,6,5,3,22,7,8,7
99學年,臺南縣,334,115,110,109,154,53,51,50,-,-,-,-,27,10,9,8,153,52,50,51
99學年,高雄縣,335,113,112,110,180,60,60,60,-,-,-,-,112,38,37,37,43,15,15,13
99學年,屏東縣,236,84,77,75,152,52,50,50,-,-,-,-,48,18,15,15,36,14,12,10
99學年,臺東縣,24,8,8,8,21,7,7,7,-,-,-,-,-,-,-,-,3,1,1,1
99學年,花蓮縣,120,39,40,41,76,25,25,26,-,-,-,-,6,2,2,2,38,12,13,13
99學年,澎湖縣,33,12,12,9,33,12,12,9,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,173,57,58,58,114,38,38,38,-,-,-,-,36,12,12,12,23,7,8,8
99學年,新竹市,204,69,68,67,131,44,44,43,-,-,-,-,46,16,15,15,27,9,9,9
99學年,臺中市,457,159,152,146,261,87,87,87,-,-,-,-,92,37,31,24,104,35,34,35
99學年,嘉義市,172,62,55,55,111,37,37,37,-,-,-,-,-,-,-,-,61,25,18,18
99學年,臺南市,373,126,123,124,207,69,69,69,-,-,-,-,21,7,7,7,145,50,47,48
99學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,7743,2639,2552,2552,3040,1020,1013,1007,1768,588,589,591,963,355,307,301,1972,676,643,653
98學年,臺北市,1701,567,564,570,98,32,33,33,1251,415,417,419,-,-,-,-,352,120,114,118
98學年,高雄市,652,220,213,219,28,8,8,12,517,173,172,172,-,-,-,-,107,39,33,35
98學年,臺北縣,943,324,315,304,365,123,123,119,-,-,-,-,273,97,90,86,305,104,102,99
98學年,宜蘭縣,160,55,52,53,129,43,43,43,-,-,-,-,1,1,-,-,30,11,9,10
98學年,桃園縣,611,219,195,197,310,103,104,103,-,-,-,-,136,62,37,37,165,54,54,57
98學年,新竹縣,71,24,21,26,48,16,16,16,-,-,-,-,7,4,1,2,16,4,4,8
98學年,苗栗縣,115,40,37,38,82,28,27,27,-,-,-,-,6,2,2,2,27,10,8,9
98學年,臺中縣,415,141,136,138,135,45,45,45,-,-,-,-,83,29,27,27,197,67,64,66
98學年,彰化縣,261,89,87,85,191,64,64,63,-,-,-,-,29,10,10,9,41,15,13,13
98學年,南投縣,99,41,30,28,58,22,18,18,-,-,-,-,17,6,6,5,24,13,6,5
98學年,雲林縣,210,70,70,70,105,35,35,35,-,-,-,-,33,11,11,11,72,24,24,24
98學年,嘉義縣,66,24,21,21,33,11,11,11,-,-,-,-,11,5,3,3,22,8,7,7
98學年,臺南縣,323,110,109,104,147,51,50,46,-,-,-,-,25,9,8,8,151,50,51,50
98學年,高雄縣,331,112,110,109,180,60,60,60,-,-,-,-,111,37,37,37,40,15,13,12
98學年,屏東縣,227,77,75,75,150,50,50,50,-,-,-,-,45,15,15,15,32,12,10,10
98學年,臺東縣,24,8,8,8,21,7,7,7,-,-,-,-,-,-,-,-,3,1,1,1
98學年,花蓮縣,122,40,41,41,77,25,26,26,-,-,-,-,6,2,2,2,39,13,13,13
98學年,澎湖縣,30,12,9,9,30,12,9,9,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,173,58,58,57,114,38,38,38,-,-,-,-,36,12,12,12,23,8,8,7
98學年,新竹市,201,68,67,66,130,44,43,43,-,-,-,-,44,15,15,14,27,9,9,9
98學年,臺中市,445,152,146,147,261,87,87,87,-,-,-,-,79,31,24,24,105,34,35,36
98學年,嘉義市,163,55,54,54,111,37,37,37,-,-,-,-,-,-,-,-,52,18,17,17
98學年,臺南市,370,123,124,123,207,69,69,69,-,-,-,-,21,7,7,7,142,47,48,47
98學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,7660,2554,2551,2555,3028,1010,1008,1010,1767,589,589,589,905,307,301,297,1960,648,653,659
97學年,臺北市,1695,564,567,564,98,32,33,33,1251,417,417,417,-,-,-,-,346,115,117,114
97學年,高雄市,651,213,219,219,33,8,12,13,516,172,172,172,-,-,-,-,102,33,35,34
97學年,臺北縣,925,316,304,305,361,123,119,119,-,-,-,-,262,90,86,86,302,103,99,100
97學年,宜蘭縣,158,52,53,53,129,43,43,43,-,-,-,-,-,-,-,-,29,9,10,10
97學年,桃園縣,591,194,198,199,311,103,104,104,-,-,-,-,111,37,37,37,169,54,57,58
97學年,新竹縣,73,21,26,26,48,16,16,16,-,-,-,-,5,1,2,2,20,4,8,8
97學年,苗栗縣,114,37,38,39,81,27,27,27,-,-,-,-,6,2,2,2,27,8,9,10
97學年,臺中縣,412,136,138,138,135,45,45,45,-,-,-,-,82,27,27,28,195,64,66,65
