學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
98學年,民生學門,74369,26805,47564,6756,1983,4773,6628,2782,3846,-,-,-,5198,1919,3279,54429,19560,34869,1358,561,797,-,-,-
98學年,運輸服務學門,3097,1448,1649,269,177,92,186,158,28,-,-,-,565,299,266,1960,737,1223,117,77,40,-,-,-
98學年,環境保護學門,2300,1478,822,-,-,-,2,2,-,-,-,-,91,63,28,1804,1112,692,392,291,101,11,10,1
98學年,軍警國防安全學門,548,492,56,-,-,-,-,-,-,-,-,-,21,17,4,512,462,50,15,13,2,-,-,-
98學年,其他學門,1008,575,433,-,-,-,-,-,-,-,-,-,-,-,-,884,521,363,111,48,63,13,6,7
97學年,總計,652365,325466,326899,84567,23056,61511,32864,17449,15415,-,-,-,74425,32443,41982,425051,227637,197414,32777,22726,10051,2681,2155,526
97學年,教育學門,1042,258,784,-,-,-,-,-,-,-,-,-,-,-,-,451,79,372,554,164,390,37,15,22
97學年,藝術學門,4325,1028,3297,1364,181,1183,425,196,229,-,-,-,734,106,628,1593,473,1120,209,72,137,-,-,-
97學年,人文學門,40617,9126,31491,9691,1603,8088,766,308,458,-,-,-,3743,849,2894,25478,6081,19397,939,285,654,-,-,-
97學年,設計學門,27548,10496,17052,1005,267,738,818,448,370,-,-,-,1908,872,1036,22417,8182,14235,1223,624,599,177,103,74
97學年,社會及行為科學學門,589,217,372,-,-,-,-,-,-,-,-,-,-,-,-,462,152,310,127,65,62,-,-,-
97學年,傳播學門,5544,2092,3452,-,-,-,143,90,53,-,-,-,217,115,102,5130,1850,3280,54,37,17,-,-,-
97學年,商業及管理學門,138941,48630,90311,9250,2295,6955,6209,2829,3380,-,-,-,16496,5724,10772,99628,33710,65918,6838,3734,3104,520,338,182
97學年,法律學門,1901,819,1082,51,16,35,-,-,-,-,-,-,1,1,-,1572,617,955,277,185,92,-,-,-
